lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bank,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bank,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,0,0.3206092059950526,0.025458248472505093,0.3206092059950526,0.3206092059950526,0.3206092059950526,0.3206092059950526,0.3206092059950526,0.3206092059950526
bat,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bat,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pitch,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pitch,4,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161
pitch,8,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161
pitch,12,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161,0.9002335605298161
