lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.6636105243498345,2.587695772009045,2.5403713454482,2.569508947552526,2.5877708456595174,2.801882323808804,2.798436358759058,2.5877708456595174
bank,4,1.8236331750660162,1.8236331750660162,1.8236331750660162,1.8236331750660162,1.8236331750660162,1.8236331750660162,1.8236331750660162,1.8236331750660162
bank,8,1.4458135507444514,1.4458135507444514,1.4458135507444514,1.4458135507444514,1.4458135507444514,1.4458135507444514,1.4458135507444514,1.4458135507444514
bank,12,1.2217594301902597,1.2217594301902597,1.2217594301902597,1.2217594301902597,1.2217594301902597,1.2217594301902597,1.2217594301902597,1.2217594301902597
bat,0,1.9991485820418868,1.9991485820418868,2.452844982441006,2.452844982441006,2.452844982441006,1.7282870831882868,1.7282870831882868,1.9991485820418868
bat,4,1.4291898499439675,1.4291898499439675,1.4291898499439675,1.4291898499439675,1.4291898499439675,1.4291898499439675,1.4291898499439675,1.4291898499439675
bat,8,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762
bat,12,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193
pitch,0,2.0348439872716613,2.5970468980580477,2.02263336902344,2.0348439872716613,2.1547068996540997,2.9944995082095756,2.0348439872716613,2.0348439872716613
pitch,4,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,3.473656269107633,1.4606157885139668,1.4606157885139668
pitch,8,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859
pitch,12,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531
run,0,3.1127022361922423,2.580373334637341,2.6267586734918007,2.634420084101627,2.634420084101627,2.6074798213572317,2.6267586734918007,2.6267586734918007
run,4,1.4450659280744327,1.4450659280744327,1.4450659280744327,1.4450659280744327,1.4450659280744327,1.4450659280744327,1.4450659280744327,1.4450659280744327
run,8,1.546933336086685,1.546933336086685,1.546933336086685,1.546933336086685,1.546933336086685,1.546933336086685,1.546933336086685,1.546933336086685
run,12,1.492258528723487,1.492258528723487,1.492258528723487,1.492258528723487,1.492258528723487,1.492258528723487,1.492258528723487,1.492258528723487
