lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.0274637667512625,3.0622896873297845,3.284592379588488,3.8056737759392485,3.424312034451698,3.272378386579202,3.7078066963711205,3.284592379588488
bank,4,1.9486954487225265,1.9486954487225265,1.9486954487225265,1.9486954487225265,1.9486954487225265,1.9486954487225265,1.9486954487225265,1.9486954487225265
bank,8,1.451532752901168,1.451532752901168,1.451532752901168,1.451532752901168,1.451532752901168,1.451532752901168,1.451532752901168,1.451532752901168
bank,12,1.2763353875615406,1.2763353875615406,1.2763353875615406,1.2763353875615406,1.2763353875615406,1.2763353875615406,1.2763353875615406,1.2763353875615406
bat,0,1.7522489127834198,1.7522489127834198,1.7522489127834198,1.7522489127834198,1.7522489127834198,1.7522489127834198,1.7522489127834198,1.7522489127834198
bat,4,1.4055486654470222,1.4055486654470222,1.4055486654470222,1.4055486654470222,1.4055486654470222,1.4055486654470222,1.4055486654470222,1.4055486654470222
bat,8,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762,1.4466808337679762
bat,12,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193,1.5709025927839193
pitch,0,1.2752916895252104,0.9787593787999334,0.9787593787999334,1.2752916895252104,1.2752916895252104,1.2752916895252104,1.2752916895252104,1.2752916895252104
pitch,4,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668,1.4606157885139668
pitch,8,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859,1.4925881916694859
pitch,12,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531,1.3438986132865531
run,0,2.6071305123174024,4.900133260579301,3.7752087663361173,3.0344067790937097,2.5139874085584197,3.9917537311243914,4.201636970568442,3.7752087663361173
run,4,1.4270679708678562,1.4270679708678562,1.4270679708678562,1.4270679708678562,1.4270679708678562,1.4270679708678562,1.4270679708678562,1.4270679708678562
run,8,1.553131984101612,1.553131984101612,1.553131984101612,1.553131984101612,1.553131984101612,1.553131984101612,1.553131984101612,1.553131984101612
run,12,1.4901627015341987,1.4901627015341987,1.4901627015341987,1.4901627015341987,1.4901627015341987,1.4901627015341987,1.4901627015341987,1.4901627015341987
