lemma,layer,method,n_samples,n_true_labels,n_clusters_found,silhouette,ari,nmi,davies_bouldin,calinski_harabasz
bank,0,kmeans,88,2,2,0.2110593169927597,-0.007905762116285707,0.006301605481076907,2.1047713470686924,18.22319221496582
bank,0,hdbscan,88,2,9,0.6687412858009338,0.006197284401828241,0.07451673774362663,1.2081782424597862,21.895946502685547
bank,1,kmeans,88,2,2,0.24547529220581055,0.9056125074724005,0.8164325312785925,1.6894639761307217,24.122745513916016
bank,1,hdbscan,88,2,2,0.23328624665737152,0.5095677901239423,0.4187785390893972,1.7339197175686378,10.700542449951172
bank,2,kmeans,88,2,2,0.3316594958305359,0.8577582061452466,0.7830361303702306,1.3376935050882865,35.10725784301758
bank,2,hdbscan,88,2,2,0.24237185716629028,0.48581381559005976,0.37033626147799925,2.13090264033536,14.440828323364258
bank,3,kmeans,88,2,2,0.3174552619457245,0.9520095866699637,0.907082054670615,1.3985817238750204,34.363975524902344
bank,3,hdbscan,88,2,3,0.2232358306646347,0.4035416201172621,0.3695006393135239,2.183589020185142,19.07293701171875
bank,4,kmeans,88,2,2,0.30941829085350037,0.9520095866699637,0.9070820546706152,1.409213743724884,33.3026123046875
bank,4,hdbscan,88,2,4,0.21374516189098358,0.4180425658915183,0.4676095456439229,2.1144504552543184,16.933902740478516
bank,5,kmeans,88,2,2,0.3075209856033325,0.9520095866699637,0.9070820546706152,1.4244453492669227,32.771949768066406
bank,5,hdbscan,88,2,4,0.20158857107162476,0.37941293348486266,0.4406076509308409,2.157740463802274,16.28119468688965
bank,6,kmeans,88,2,2,0.3054703176021576,0.9046040192259378,0.840380325118992,1.431894992521674,31.25447654724121
bank,6,hdbscan,88,2,3,0.23270779848098755,0.46675407756882703,0.4354818954566198,2.2232288327379504,19.064945220947266
bank,7,kmeans,88,2,2,0.3284647762775421,0.9520095866699637,0.907082054670615,1.3835213592890339,35.50118637084961
bank,7,hdbscan,88,2,3,0.24024677276611328,0.4457451511534696,0.4240638582247286,2.176723880676554,21.046188354492188
bank,8,kmeans,88,2,2,0.32247769832611084,0.9520095866699637,0.907082054670615,1.3884485287513084,34.95891189575195
bank,8,hdbscan,88,2,4,0.19322670996189117,0.39729063890134664,0.4771756356545543,2.1749450751494743,16.96126365661621
bank,9,kmeans,88,2,2,0.3280150294303894,0.9520095866699637,0.9070820546706152,1.383659443958672,35.48782730102539
bank,9,hdbscan,88,2,4,0.19813162088394165,0.4188030261572992,0.5094696262762288,2.3226795006910734,18.128623962402344
bank,10,kmeans,88,2,2,0.33651939034461975,0.9520095866699637,0.9070820546706152,1.395964601763833,35.82371520996094
