lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.019962905929046672,0.019962905929046672,0.019962905929046672,0.019962905929046672,0.019962905929046672,0.019962905929046672,0.019962905929046672,0.019962905929046672
bank,2,0.9840320020521122,0.9840320020521122,0.9840320020521122,0.9840320020521122,0.9840320020521122,0.9840320020521122,0.9840320020521122,0.9840320020521122
bank,4,0.890918084499773,0.890918084499773,0.890918084499773,0.890918084499773,0.890918084499773,0.890918084499773,0.890918084499773,0.890918084499773
bank,6,0.9061162897752376,0.9061162897752376,0.9061162897752376,0.9061162897752376,0.9061162897752376,0.9061162897752376,0.9061162897752376,0.9061162897752376
bat,0,0.2089318191003516,0.2089318191003516,0.2089318191003516,0.2089318191003516,0.2089318191003516,0.2089318191003516,0.2089318191003516,0.2089318191003516
bat,2,0.8141552807097067,0.8141552807097067,0.8141552807097067,0.8141552807097067,0.8141552807097067,0.8141552807097067,0.8141552807097067,0.8141552807097067
bat,4,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485
bat,6,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611
pitch,0,0.15532178217821782,0.15532178217821782,0.15532178217821782,0.15532178217821782,0.15532178217821782,0.15532178217821782,0.15532178217821782,0.15532178217821782
pitch,2,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189
pitch,4,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189,0.8658438852380189
pitch,6,0.8610327079528474,0.8610327079528474,0.8610327079528474,0.8610327079528474,0.8610327079528474,0.8610327079528474,0.8610327079528474,0.8610327079528474
run,0,0.005795206615144628,0.005795206615144628,0.005795206615144628,0.005795206615144628,0.005795206615144628,0.005795206615144628,0.005795206615144628,0.005795206615144628
run,2,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833
run,4,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833,0.8408183251765833
run,6,0.8578374943016414,0.8578374943016414,0.8578374943016414,0.8578374943016414,0.8578374943016414,0.8578374943016414,0.8578374943016414,0.8578374943016414
