lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.016117249059659992,0.016117249059659992,0.016117249059659992,0.016117249059659992,0.016117249059659992,0.016117249059659992,0.016117249059659992,0.016117249059659992
bank,2,0.9663653678534111,0.9663653678534111,0.9663653678534111,0.9663653678534111,0.9663653678534111,0.9663653678534111,0.9663653678534111,0.9663653678534111
bank,4,0.84301199214932,0.84301199214932,0.84301199214932,0.84301199214932,0.84301199214932,0.84301199214932,0.84301199214932,0.84301199214932
bank,6,0.8601326278934422,0.8601326278934422,0.8601326278934422,0.8601326278934422,0.8601326278934422,0.8601326278934422,0.8601326278934422,0.8601326278934422
bat,0,0.1825279603268278,0.1825279603268278,0.1825279603268278,0.1825279603268278,0.1825279603268278,0.1825279603268278,0.1825279603268278,0.1825279603268278
bat,2,0.7681992814022526,0.7681992814022526,0.7681992814022526,0.7681992814022526,0.7681992814022526,0.7681992814022526,0.7681992814022526,0.7681992814022526
bat,4,0.7234339026966531,0.7234339026966531,0.7234339026966531,0.7234339026966531,0.7234339026966531,0.7234339026966531,0.7234339026966531,0.7234339026966531
bat,6,0.8605914650528118,0.8605914650528118,0.8605914650528118,0.8605914650528118,0.8605914650528118,0.8605914650528118,0.8605914650528118,0.8605914650528118
pitch,0,0.07079073083465062,0.07079073083465062,0.07079073083465062,0.07079073083465062,0.07079073083465062,0.07079073083465062,0.07079073083465062,0.07079073083465062
pitch,2,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192
pitch,4,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192,0.7887695854359192
pitch,6,0.7417763105604528,0.7417763105604528,0.7417763105604528,0.7417763105604528,0.7417763105604528,0.7417763105604528,0.7417763105604528,0.7417763105604528
run,0,0.006021487000051175,0.006021487000051175,0.006021487000051175,0.006021487000051175,0.006021487000051175,0.006021487000051175,0.006021487000051175,0.006021487000051175
run,2,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981
run,4,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981,0.7869865038573981
run,6,0.8044855452014038,0.8044855452014038,0.8044855452014038,0.8044855452014038,0.8044855452014038,0.8044855452014038,0.8044855452014038,0.8044855452014038
