lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.2061363011598587,0.2061363011598587,0.2061363011598587,0.2061363011598587,0.2061363011598587,0.2061363011598587,0.2061363011598587,0.2061363011598587
bank,3,0.43305420875549316,0.43305420875549316,0.43305420875549316,0.43305420875549316,0.43305420875549316,0.43305420875549316,0.43305420875549316,0.43305420875549316
bank,6,0.6044939160346985,0.6044939160346985,0.6044939160346985,0.6044939160346985,0.6044939160346985,0.6044939160346985,0.6044939160346985,0.6044939160346985
bat,0,0.36191296577453613,0.36191296577453613,0.36191296577453613,0.36191296577453613,0.36191296577453613,0.36191296577453613,0.36191296577453613,0.36191296577453613
bat,3,0.4374953806400299,0.4374953806400299,0.4374953806400299,0.4374953806400299,0.4374953806400299,0.4374953806400299,0.4374953806400299,0.4374953806400299
bat,6,0.4954982101917267,0.4954982101917267,0.4954982101917267,0.4954982101917267,0.4954982101917267,0.4954982101917267,0.4954982101917267,0.4954982101917267
pitch,0,0.2968442738056183,0.2968442738056183,0.2968442738056183,0.2968442738056183,0.2968442738056183,0.2968442738056183,0.2968442738056183,0.2968442738056183
pitch,3,0.4193078279495239,0.4193078279495239,0.4193078279495239,0.4193078279495239,0.4193078279495239,0.4193078279495239,0.4193078279495239,0.4193078279495239
pitch,6,0.5800266265869141,0.5800266265869141,0.5800266265869141,0.5800266265869141,0.5800266265869141,0.5800266265869141,0.5800266265869141,0.5800266265869141
run,0,0.20586514472961426,0.20586514472961426,0.20586514472961426,0.20586514472961426,0.20586514472961426,0.20586514472961426,0.20586514472961426,0.20586514472961426
run,3,0.4327771067619324,0.4327771067619324,0.4327771067619324,0.4327771067619324,0.4327771067619324,0.4327771067619324,0.4327771067619324,0.4327771067619324
run,6,0.4735028147697449,0.4735028147697449,0.4735028147697449,0.4735028147697449,0.4735028147697449,0.4735028147697449,0.4735028147697449,0.4735028147697449
