lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,2.671029930130912,2.671029930130912,2.666101227716763,3.2777696633606745,2.671029930130912,2.666101227716763,2.666101227716763,2.671029930130912
bank,2,1.7450001792595862,1.7450001792595862,1.7450001792595862,1.7450001792595862,1.7450001792595862,1.7450001792595862,1.7450001792595862,1.7450001792595862
bank,4,1.2913439019761255,1.2913439019761255,1.2913439019761255,1.2913439019761255,1.2913439019761255,1.2913439019761255,1.2913439019761255,1.2913439019761255
bank,6,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604,1.0352989201625604
bat,0,1.9984403503838,1.9984403503838,2.4463506681957106,2.4463506681957106,2.4463506681957106,1.705450750585029,1.705450750585029,1.9984403503838
bat,2,1.4280576455708998,1.4280576455708998,1.4280576455708998,1.4280576455708998,1.4280576455708998,1.4280576455708998,1.4280576455708998,1.4280576455708998
bat,4,1.4691420297658393,1.4691420297658393,1.4691420297658393,1.4691420297658393,1.4691420297658393,1.4691420297658393,1.4691420297658393,1.4691420297658393
bat,6,1.3193870646433807,1.3193870646433807,1.3193870646433807,1.3193870646433807,1.3193870646433807,1.3193870646433807,1.3193870646433807,1.3193870646433807
pitch,0,2.0775211225008112,2.805952084351991,2.031761200766617,2.031761200766617,2.031761200766617,2.0208324482795086,2.031761200766617,2.031761200766617
pitch,2,2.8936459757163306,1.644558004549611,1.644558004549611,1.644558004549611,1.644558004549611,1.644558004549611,1.644558004549611,1.644558004549611
pitch,4,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401,1.575352616832401
pitch,6,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834,1.0936985744688834
run,0,2.7517357549364294,2.709936868450429,2.9165536065886934,2.984835256800615,2.6855668044235506,2.74087351316556,2.768203639974834,2.7517357549364294
run,2,1.5308353911774382,1.5308353911774382,1.5308353911774382,1.5308353911774382,1.5308353911774382,1.5308353911774382,1.5308353911774382,1.5308353911774382
run,4,1.4495959675785965,1.4495959675785965,1.4495959675785965,1.4495959675785965,1.4495959675785965,1.4495959675785965,1.4495959675785965,1.4495959675785965
run,6,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063,1.2865326753479063
