lemma,layer,seed_42,seed_123,seed_456,seed_789,seed_1011,seed_1213,seed_1415,median
bank,0,0.016528268182270902,0.011491788621488168,0.010597903576657523,0.02494727016582625,0.016528268182270902,0.011475273790282278,0.016528268182270902,0.016528268182270902
bank,3,0.9291542084661563,0.9291542084661563,0.9291542084661563,0.9291542084661563,0.9291542084661563,0.9291542084661563,0.9291542084661563,0.9291542084661563
bank,6,0.8985011454877563,0.8985011454877563,0.8985011454877563,0.8985011454877563,0.8985011454877563,0.8985011454877563,0.8985011454877563,0.8985011454877563
bat,0,0.01224420384331954,0.01224420384331954,0.058919891940615914,0.01224420384331954,0.09676935922413239,0.01224420384331954,0.01224420384331954,0.01224420384331954
bat,3,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611,0.9047301619001611
bat,6,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485,0.8140790326063485
pitch,0,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
pitch,3,0.821590174531351,0.821590174531351,0.821590174531351,0.821590174531351,0.821590174531351,0.821590174531351,0.821590174531351,0.821590174531351
pitch,6,0.9072368421052631,0.9072368421052631,0.9072368421052631,0.9072368421052631,0.9072368421052631,0.9072368421052631,0.9072368421052631,0.9072368421052631
run,0,0.009431453480090569,0.0062998065982927814,0.0056879457035474415,0.0062998065982927814,0.0056879457035474415,0.006274516229648933,0.0062998065982927814,0.0062998065982927814
run,3,0.8836786888062278,0.8836786888062278,0.8836786888062278,0.8836786888062278,0.8923758014567976,0.8923758014567976,0.8836786888062278,0.8836786888062278
run,6,0.9098951962332756,0.9098951962332756,0.9098951962332756,0.9098951962332756,0.9098951962332756,0.9098951962332756,0.9098951962332756,0.9098951962332756
